Название фильма,Год создания,Оценка,Страна,Режиссер,Возможность просмотра на кинопоиске
Туз в рукаве,1951,7.8,США,Билли Уайлдер,False
Эйс Вентура: Розыск домашних животных,1993,7.8,США,Том Шэдьяк,False
Месть актера,1963,6.8,Япония,Кон Итикава,False
Зависимость,1994,6.3,США,Абель Феррара,False
Страховой агент,1991,6.0,Канада,Атом Эгоян,False
Приключения Бакару Банзая в восьмом измерении,1984,5.7,США,У. Д. Рихтер,False
Приключения Робин Гуда,1938,7.0,США,Майкл Кёртиц,False
После работы,1985,7.5,США,Мартин Скорсезе,False
"Агирре, гнев божий",1972,7.7,Германия,боевик Вернер Херцог,False
Аэроплан,1980,7.5,США,Джим Абрахамс,False
Акира,1987,7.8,Япония,Кацухиро Отомо,False
Александр Невский,1938,8.0,СССР,Сергей Эйзенштейн,False
Элфи,1966,7.1,Великобритания,Льюис Гилберт,False
Алиса,1987,7.6,Чехословакия,Ян Шванкмайер,False
Чужой,1979,8.1,Великобритания,Ридли Скотт,False
Всё о моей матери,1999,7.8,Испания,Педро Альмодовар,False
"Все, что дозволено небесами",1955,7.1,США,Дуглас Сирк,False
Весь этот джаз,1979,7.7,США,Боб Фосси,False
Вся президентская рать,1976,7.5,США,Алан Дж. Пакула,False
Альфавиль,1965,7.2,Франция,Жан-Люк Годар,False
Амадей,1984,8.2,США,Милош Форман,False
Любовники с Нового моста,1991,7.6,Франция,Леос Каракс,False
Амели,2001,8.0,Франция,Жан-Пьер Жёне,True
Красота по-американски,1999,8.0,США,Сэм Мендес,False
Американский жиголо,1980,6.6,США,Пол Шредер,False
Американские граффити,1973,7.2,США,Джордж Лукас,False
Американец в Париже,1951,6.7,США,Винсент Миннелли,False
Американское кино,1999,6.8,США,Крис Смит,False
Американский пирог,1999,7.2,США,Пол Вайц,False
Американское великолепие,2003,6.7,США,Шари Спрингер Берман,True
Американский оборотень в Лондоне,1981,6.9,Великобритания,Джон Лэндис,False
Сука-любовь,2000,7.9,Мексика,Алехандро Гонсалес Иньярриту,False
Анатомия убийства,1959,7.6,США,Отто Преминджер,False
Андрей Рублев,1966,8.2,СССР,Андрей Тарковский,True
Ангел за моим столом,1990,7.1,Новая,драма Джейн Кэмпион,False
Энни Холл,1977,7.8,США,Вуди Аллен,False
Квартира,1960,8.0,США,Билли Уайлдер,False
Апокалипсис сегодня,1979,8.1,США,Фрэнсис Форд Коппола,False
Квартира,1996,7.6,Франция,Жиль Мимуни,False
Яблоко,1998,6.9,Иран,Самира Махмальбаф,False
Армия теней,1969,7.7,Франция,Жан-Пьер Мельвиль,False
Вокруг Света за 80 дней,1956,7.1,США,Майкл Андерсон,False
Мышьяк и старые кружева,1944,7.8,США,Фрэнк Капра,False
Асфальтовые джунгли,1950,7.3,США,Джон Хьюстон,False
Нападение на 13-й участок,1976,7.2,США,Джон Карпентер,False
"История Аси Клячиной, которая любила, да не вышла замуж",1967,7.3,СССР,Андрей Кончаловский,False
Аталанта,1934,7.6,Франция,Жан Виго,False
Быстрый бегун,2000,6.9,Канада,Захариас Кунук,False
Атлантик-Сити,1980,7.0,Франция,Луи Маль,False
"Наудачу, Бальтазар",1966,7.7,Франция,Робер Брессон,False
